match_id,league_id,home_team_id,away_team_id,match_date,home_goals,away_goals,status,home_avg_gf_5,home_avg_ga_5,home_pts_5,home_winrate_5,home_drawrate_5,away_avg_gf_5,away_avg_ga_5,away_pts_5,away_winrate_5,away_drawrate_5,home_win,diff_pts_5,diff_avg_gf_5,diff_avg_ga_5,diff_winrate_5,diff_drawrate_5
16296,25,828,826,2023-11-11 15:00:00,3,1,finished,2.1,0.8,21.0,0.6,0.3,0.8,2.4,4.0,0.1,0.1,1,17.0,1.3,-1.5999999999999999,0.5,0.19999999999999998
16295,25,844,835,2023-11-11 15:00:00,1,0,finished,1.1,1.6,15.0,0.5,0.0,0.9,1.7,6.0,0.1,0.3,1,9.0,0.20000000000000007,-0.09999999999999987,0.4,-0.3
17445,26,851,855,2023-11-11 15:15:00,1,3,finished,1.3,2.7,3.0,0.0,0.3,1.8,1.3,17.0,0.5,0.2,0,-14.0,-0.5,1.4000000000000001,-0.5,0.09999999999999998
22487,31,979,985,2023-11-11 15:30:00,2,1,finished,1.1,2.4,11.0,0.3,0.2,1.2,2.8,7.0,0.2,0.1,1,4.0,-0.09999999999999987,-0.3999999999999999,0.09999999999999998,0.1
20624,29,928,929,2023-11-11 16:00:00,0,3,finished,1.6,1.0,20.0,0.6,0.2,2.6,0.9,23.0,0.7,0.2,0,-3.0,-1.0,0.09999999999999998,-0.09999999999999998,0.0
18577,27,890,894,2023-11-11 17:00:00,2,1,finished,1.4,0.6,23.0,0.7,0.2,1.1,2.2,8.0,0.2,0.2,1,15.0,0.2999999999999998,-1.6,0.49999999999999994,0.0
16298,25,830,838,2023-11-11 17:30:00,2,0,finished,0.8,2.6,5.0,0.1,0.2,2.2,1.0,17.0,0.5,0.2,1,-12.0,-1.4000000000000001,1.6,-0.4,0.0
17446,26,870,865,2023-11-11 17:30:00,1,1,finished,1.6,2.4,6.0,0.1,0.3,1.4,1.3,14.0,0.3,0.5,0,-8.0,0.20000000000000018,1.0999999999999999,-0.19999999999999998,-0.2
19699,28,913,915,2023-11-11 17:30:00,1,1,finished,1.0,2.4,8.0,0.1,0.5,0.8,2.2,5.0,0.1,0.2,0,3.0,0.19999999999999996,0.19999999999999973,0.0,0.3
17447,26,862,857,2023-11-11 17:30:00,1,1,finished,1.2,1.8,10.0,0.3,0.1,0.9,0.9,16.0,0.5,0.1,0,-6.0,0.29999999999999993,0.9,-0.2,0.0
21546,30,952,960,2023-11-11 17:45:00,0,1,finished,0.8,1.9,9.0,0.3,0.0,2.1,1.1,18.0,0.5,0.3,0,-9.0,-1.3,0.7999999999999998,-0.2,-0.3
22488,31,983,977,2023-11-11 18:00:00,0,0,finished,1.1,1.6,9.0,0.2,0.3,1.1,1.0,15.0,0.4,0.3,0,-6.0,0.0,0.6000000000000001,-0.2,0.0
22489,31,986,990,2023-11-11 18:00:00,0,1,finished,1.1,1.5,11.0,0.3,0.2,1.3,1.0,17.0,0.5,0.2,0,-6.0,-0.19999999999999996,0.5,-0.2,0.0
21547,30,964,957,2023-11-11 19:00:00,3,3,finished,1.8,0.7,23.0,0.7,0.2,1.7,1.9,10.0,0.2,0.4,0,13.0,0.10000000000000009,-1.2,0.49999999999999994,-0.2
18578,27,884,893,2023-11-11 19:45:00,1,1,finished,1.2,0.8,16.0,0.4,0.4,0.9,1.3,14.0,0.4,0.2,0,2.0,0.29999999999999993,-0.5,0.0,0.2
21548,30,948,951,2023-11-11 20:00:00,1,3,finished,0.6,2.0,5.0,0.1,0.2,1.1,2.4,7.0,0.2,0.1,0,-2.0,-0.5000000000000001,-0.3999999999999999,-0.1,0.1
17448,26,860,854,2023-11-11 20:00:00,5,1,finished,1.8,0.7,23.0,0.7,0.2,1.2,1.2,12.0,0.3,0.3,1,11.0,0.6000000000000001,-0.5,0.39999999999999997,-0.09999999999999998
20625,29,934,938,2023-11-11 20:00:00,0,0,finished,1.0,1.1,13.0,0.3,0.4,2.1,1.2,20.0,0.6,0.2,0,-7.0,-1.1,-0.09999999999999987,-0.3,0.2
22490,31,987,991,2023-11-11 20:30:00,1,2,finished,1.7,1.1,19.0,0.6,0.1,1.3,0.7,22.0,0.7,0.1,0,-3.0,0.3999999999999999,0.40000000000000013,-0.09999999999999998,0.0
21549,30,949,955,2023-11-12 11:15:00,4,0,finished,3.9,0.5,30.0,1.0,0.0,1.3,1.5,14.0,0.4,0.2,1,16.0,2.5999999999999996,-1.0,0.6,-0.2
18579,27,880,877,2023-11-12 11:30:00,0,1,finished,2.1,1.1,18.0,0.5,0.3,0.4,2.0,7.0,0.2,0.1,0,11.0,1.7000000000000002,-0.8999999999999999,0.3,0.19999999999999998
21550,30,947,956,2023-11-12 13:30:00,1,4,finished,1.3,2.2,8.0,0.2,0.2,1.1,1.4,12.0,0.3,0.3,0,-4.0,0.19999999999999996,0.8000000000000003,-0.09999999999999998,-0.09999999999999998
21551,30,963,953,2023-11-12 13:30:00,2,2,finished,0.9,1.6,12.0,0.3,0.3,1.9,2.2,11.0,0.3,0.2,0,1.0,-0.9999999999999999,-0.6000000000000001,0.0,0.09999999999999998
20628,29,940,935,2023-11-12 14:00:00,3,1,finished,0.8,1.2,10.0,0.2,0.4,1.5,1.8,14.0,0.4,0.2,1,-4.0,-0.7,-0.6000000000000001,-0.2,0.2
20627,29,937,930,2023-11-12 14:00:00,1,0,finished,0.7,1.4,6.0,0.1,0.3,1.5,2.0,10.0,0.2,0.4,1,-4.0,-0.8,-0.6000000000000001,-0.1,-0.10000000000000003
20626,29,926,936,2023-11-12 14:00:00,1,1,finished,1.3,0.9,18.0,0.5,0.3,1.0,1.4,8.0,0.1,0.5,0,10.0,0.30000000000000004,-0.4999999999999999,0.4,-0.2
18580,27,889,886,2023-11-12 14:00:00,1,1,finished,0.7,1.1,10.0,0.1,0.7,1.7,1.0,16.0,0.5,0.1,0,-6.0,-1.0,0.10000000000000009,-0.4,0.6
18581,27,882,895,2023-11-12 14:00:00,2,1,finished,1.4,1.4,14.0,0.4,0.2,1.2,0.6,18.0,0.4,0.6,1,-4.0,0.19999999999999996,0.7999999999999999,0.0,-0.39999999999999997
16300,25,831,829,2023-11-12 14:00:00,3,2,finished,1.7,1.9,13.0,0.4,0.1,1.1,1.3,13.0,0.3,0.4,1,0.0,0.5999999999999999,0.5999999999999999,0.10000000000000003,-0.30000000000000004
16302,25,839,833,2023-11-12 14:00:00,3,1,finished,2.5,1.1,22.0,0.7,0.1,0.8,1.7,9.0,0.2,0.3,1,13.0,1.7,-0.5999999999999999,0.49999999999999994,-0.19999999999999998
16301,25,834,836,2023-11-12 14:00:00,1,1,finished,2.0,1.9,15.0,0.4,0.3,0.9,2.9,4.0,0.1,0.1,0,11.0,1.1,-1.0,0.30000000000000004,0.19999999999999998
16299,25,843,840,2023-11-12 14:00:00,3,0,finished,2.3,0.9,23.0,0.7,0.2,1.7,1.2,15.0,0.4,0.3,1,8.0,0.5999999999999999,-0.29999999999999993,0.29999999999999993,-0.09999999999999998
19700,28,908,916,2023-11-12 14:30:00,4,0,finished,3.0,1.0,28.0,0.9,0.1,1.1,2.2,6.0,0.2,0.0,1,22.0,1.9,-1.2000000000000002,0.7,0.1
